"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"null","","audio-keyboard-response","146","501372","0.0-4.0-2.50-0.50","MT-AIXTI8PKSX1D2","","","snd/ke.wav","null",""
"1373","","html-keyboard-response","147","502746","0.0-4.0-2.50-1.50","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","148","502993","0.0-4.0-2.51-0.51","MT-AIXTI8PKSX1D2","","","snd/ke.wav","null",""
"3031","","html-keyboard-response","149","506025","0.0-4.0-2.51-1.51","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"8925","","survey-text","150","514953","0.0-4.0-3.10","MT-AIXTI8PKSX1D2","","{""Q0"":""two""}","","",""
"5669","","audio-keyboard-response","151","520627","0.0-4.0-4.10","MT-AIXTI8PKSX1D2","","","snd/ke.wav","53","typicality"
"null","","html-keyboard-response","152","521627","0.0-4.0-0.11","MT-AIXTI8PKSX1D2","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","153","521872","0.0-4.0-1.11","MT-AIXTI8PKSX1D2","","","snd/pu3_1.wav","null",""
"null","","audio-keyboard-response","154","522622","0.0-4.0-2.52-0.52","MT-AIXTI8PKSX1D2","","","snd/pu3_1.wav","null",""
"1194","","html-keyboard-response","155","523818","0.0-4.0-2.52-1.52","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"4329","","survey-text","156","528148","0.0-4.0-3.11","MT-AIXTI8PKSX1D2","","{""Q0"":""Two""}","","",""
"1709","","audio-keyboard-response","157","529859","0.0-4.0-4.11","MT-AIXTI8PKSX1D2","","","snd/pu3_1.wav","53","typicality"
"null","","html-keyboard-response","158","530860","0.0-4.0-0.12","MT-AIXTI8PKSX1D2","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","159","531102","0.0-4.0-1.12","MT-AIXTI8PKSX1D2","","","snd/pa2_0.wav","null",""
"null","","audio-keyboard-response","160","531853","0.0-4.0-2.53-0.53","MT-AIXTI8PKSX1D2","","","snd/pa2_0.wav","null",""
"1045","","html-keyboard-response","161","532899","0.0-4.0-2.53-1.53","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","162","533143","0.0-4.0-2.54-0.54","MT-AIXTI8PKSX1D2","","","snd/pa2_0.wav","null",""
"707","","html-keyboard-response","163","533850","0.0-4.0-2.54-1.54","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","164","534093","0.0-4.0-2.55-0.55","MT-AIXTI8PKSX1D2","","","snd/pa2_0.wav","null",""
"203","","html-keyboard-response","165","534297","0.0-4.0-2.55-1.55","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","166","534543","0.0-4.0-2.56-0.56","MT-AIXTI8PKSX1D2","","","snd/pa2_0.wav","null",""
"1006","","html-keyboard-response","167","535549","0.0-4.0-2.56-1.56","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"8342","","survey-text","168","543893","0.0-4.0-3.12","MT-AIXTI8PKSX1D2","","{""Q0"":""Two""}","","",""
"4101","","audio-keyboard-response","169","547995","0.0-4.0-4.12","MT-AIXTI8PKSX1D2","","","snd/pa2_0.wav","53","typicality"
"null","","html-keyboard-response","170","549008","0.0-4.0-0.13","MT-AIXTI8PKSX1D2","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","171","549270","0.0-4.0-1.13","MT-AIXTI8PKSX1D2","","","snd/no.wav","null",""
"null","","audio-keyboard-response","172","550019","0.0-4.0-2.57-0.57","MT-AIXTI8PKSX1D2","","","snd/no.wav","null",""
"981","","html-keyboard-response","173","551000","0.0-4.0-2.57-1.57","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","174","551260","0.0-4.0-2.58-0.58","MT-AIXTI8PKSX1D2","","","snd/no.wav","null",""
"148","","html-keyboard-response","175","551408","0.0-4.0-2.58-1.58","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","176","551656","0.0-4.0-2.59-0.59","MT-AIXTI8PKSX1D2","","","snd/no.wav","null",""
"40","","html-keyboard-response","177","551697","0.0-4.0-2.59-1.59","MT-AIXTI8PKSX1D2","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","178","551946","0.0-4.0-2.60-0.60","MT-AIXTI8PKSX1D2","","","snd/no.wav","null",""
