"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"4706","ad.html","external-html","0","5322","0.0-0.0","MT-A1ZVTAK0GLO959","","","","",""
"59180","","instructions","1","64509","0.0-1.0","MT-A1ZVTAK0GLO959","[{""page_index"":0,""viewing_time"":59175}]","","","",""
"3932","","survey-multi-select","2","70452","0.0-2.0","MT-A1ZVTAK0GLO959","","{""Q0"":[""English""]}","","",""
"18431","","html-keyboard-response","3","88944","0.0-3.0","MT-A1ZVTAK0GLO959","","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","76",""
"null","","html-keyboard-response","4","89450","0.0-4.0-0.0","MT-A1ZVTAK0GLO959","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","5","89711","0.0-4.0-1.0","MT-A1ZVTAK0GLO959","","","snd/pu3_1.wav","null",""
"null","","audio-keyboard-response","6","90473","0.0-4.0-2.0-0.0","MT-A1ZVTAK0GLO959","","","snd/pu3_1.wav","null",""
"2164","","html-keyboard-response","7","92637","0.0-4.0-2.0-1.0","MT-A1ZVTAK0GLO959","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","8","92900","0.0-4.0-2.1-0.1","MT-A1ZVTAK0GLO959","","","snd/pu3_1.wav","null",""
"2373","","html-keyboard-response","9","95275","0.0-4.0-2.1-1.1","MT-A1ZVTAK0GLO959","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","76",""
"3801","","survey-text","10","99081","0.0-4.0-3.0","MT-A1ZVTAK0GLO959","","{""Q0"":""bu""}","","",""
"4296","","audio-keyboard-response","11","103400","0.0-4.0-4.0","MT-A1ZVTAK0GLO959","","","snd/pu3_1.wav","51","typicality"
"null","","html-keyboard-response","12","104404","0.0-4.0-0.1","MT-A1ZVTAK0GLO959","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","13","104634","0.0-4.0-1.1","MT-A1ZVTAK0GLO959","","","snd/ti.wav","null",""
