"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"null","","audio-keyboard-response","124","339274","0.0-4.0-2.45-0.45","MT-A16PLYF8XISLFX","","","snd/la.wav","null",""
"5931","","html-keyboard-response","125","345205","0.0-4.0-2.45-1.45","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"7565","","survey-text","126","352771","0.0-4.0-3.7","MT-A16PLYF8XISLFX","","{""Q0"":""a""}","","",""
"2981","","audio-keyboard-response","127","355760","0.0-4.0-4.7","MT-A16PLYF8XISLFX","","","snd/la.wav","52","typicality"
"null","","html-keyboard-response","128","356769","0.0-4.0-0.8","MT-A16PLYF8XISLFX","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","129","357020","0.0-4.0-1.8","MT-A16PLYF8XISLFX","","","snd/fa.wav","null",""
"null","","audio-keyboard-response","130","357780","0.0-4.0-2.46-0.46","MT-A16PLYF8XISLFX","","","snd/fa.wav","null",""
"1909","","html-keyboard-response","131","359689","0.0-4.0-2.46-1.46","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"3486","","survey-text","132","363176","0.0-4.0-3.8","MT-A16PLYF8XISLFX","","{""Q0"":""f""}","","",""
"1760","","audio-keyboard-response","133","364936","0.0-4.0-4.8","MT-A16PLYF8XISLFX","","","snd/fa.wav","55","typicality"
"null","","html-keyboard-response","134","365941","0.0-4.0-0.9","MT-A16PLYF8XISLFX","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","135","366190","0.0-4.0-1.9","MT-A16PLYF8XISLFX","","","snd/to.wav","null",""
"null","","audio-keyboard-response","136","366940","0.0-4.0-2.47-0.47","MT-A16PLYF8XISLFX","","","snd/to.wav","null",""
"4585","","html-keyboard-response","137","371525","0.0-4.0-2.47-1.47","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","138","371780","0.0-4.0-2.48-0.48","MT-A16PLYF8XISLFX","","","snd/to.wav","null",""
"815","","html-keyboard-response","139","372595","0.0-4.0-2.48-1.48","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","140","372840","0.0-4.0-2.49-0.49","MT-A16PLYF8XISLFX","","","snd/to.wav","null",""
"473","","html-keyboard-response","141","373314","0.0-4.0-2.49-1.49","MT-A16PLYF8XISLFX","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","142","373560","0.0-4.0-2.50-0.50","MT-A16PLYF8XISLFX","","","snd/to.wav","null",""
