"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"null","","html-keyboard-response","284","549183","0.0-4.0-0.20","MT-A1HKCTDOTL6C9I","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","285","549433","0.0-4.0-1.20","MT-A1HKCTDOTL6C9I","","","snd/ku.wav","null",""
"null","","audio-keyboard-response","286","550182","0.0-4.0-2.100-0.100","MT-A1HKCTDOTL6C9I","","","snd/ku.wav","null",""
"2190","","html-keyboard-response","287","552372","0.0-4.0-2.100-1.100","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","288","552620","0.0-4.0-2.101-0.101","MT-A1HKCTDOTL6C9I","","","snd/ku.wav","null",""
"78","","html-keyboard-response","289","552700","0.0-4.0-2.101-1.101","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","290","552946","0.0-4.0-2.102-0.102","MT-A1HKCTDOTL6C9I","","","snd/ku.wav","null",""
"98","","html-keyboard-response","291","553044","0.0-4.0-2.102-1.102","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","292","553294","0.0-4.0-2.103-0.103","MT-A1HKCTDOTL6C9I","","","snd/ku.wav","null",""
"109","","html-keyboard-response","293","553403","0.0-4.0-2.103-1.103","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","294","553654","0.0-4.0-2.104-0.104","MT-A1HKCTDOTL6C9I","","","snd/ku.wav","null",""
"214","","html-keyboard-response","295","553868","0.0-4.0-2.104-1.104","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","296","554118","0.0-4.0-2.105-0.105","MT-A1HKCTDOTL6C9I","","","snd/ku.wav","null",""
"333","","html-keyboard-response","297","554452","0.0-4.0-2.105-1.105","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","298","554699","0.0-4.0-2.106-0.106","MT-A1HKCTDOTL6C9I","","","snd/ku.wav","null",""
"450","","html-keyboard-response","299","555149","0.0-4.0-2.106-1.106","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","300","555395","0.0-4.0-2.107-0.107","MT-A1HKCTDOTL6C9I","","","snd/ku.wav","null",""
"353","","html-keyboard-response","301","555748","0.0-4.0-2.107-1.107","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","302","555999","0.0-4.0-2.108-0.108","MT-A1HKCTDOTL6C9I","","","snd/ku.wav","null",""
"358","","html-keyboard-response","303","556358","0.0-4.0-2.108-1.108","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","304","556602","0.0-4.0-2.109-0.109","MT-A1HKCTDOTL6C9I","","","snd/ku.wav","null",""
"689","","html-keyboard-response","305","557292","0.0-4.0-2.109-1.109","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"3096","","survey-text","306","560390","0.0-4.0-3.20","MT-A1HKCTDOTL6C9I","","{""Q0"":""koo""}","","",""
"1846","","audio-keyboard-response","307","562236","0.0-4.0-4.20","MT-A1HKCTDOTL6C9I","","","snd/ku.wav","54","typicality"
"null","","html-keyboard-response","308","563240","0.0-4.0-0.21","MT-A1HKCTDOTL6C9I","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","309","563493","0.0-4.0-1.21","MT-A1HKCTDOTL6C9I","","","snd/ke.wav","null",""
"null","","audio-keyboard-response","310","564248","0.0-4.0-2.110-0.110","MT-A1HKCTDOTL6C9I","","","snd/ke.wav","null",""
"1139","","html-keyboard-response","311","565388","0.0-4.0-2.110-1.110","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","312","565642","0.0-4.0-2.111-0.111","MT-A1HKCTDOTL6C9I","","","snd/ke.wav","null",""
"153","","html-keyboard-response","313","565796","0.0-4.0-2.111-1.111","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","314","566048","0.0-4.0-2.112-0.112","MT-A1HKCTDOTL6C9I","","","snd/ke.wav","null",""
"132","","html-keyboard-response","315","566180","0.0-4.0-2.112-1.112","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","316","566437","0.0-4.0-2.113-0.113","MT-A1HKCTDOTL6C9I","","","snd/ke.wav","null",""
"175","","html-keyboard-response","317","566614","0.0-4.0-2.113-1.113","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","318","566866","0.0-4.0-2.114-0.114","MT-A1HKCTDOTL6C9I","","","snd/ke.wav","null",""
"418","","html-keyboard-response","319","567284","0.0-4.0-2.114-1.114","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","320","567540","0.0-4.0-2.115-0.115","MT-A1HKCTDOTL6C9I","","","snd/ke.wav","null",""
"616","","html-keyboard-response","321","568156","0.0-4.0-2.115-1.115","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","322","568410","0.0-4.0-2.116-0.116","MT-A1HKCTDOTL6C9I","","","snd/ke.wav","null",""
"362","","html-keyboard-response","323","568773","0.0-4.0-2.116-1.116","MT-A1HKCTDOTL6C9I","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","9",""
"2334","","survey-text","324","571109","0.0-4.0-3.21","MT-A1HKCTDOTL6C9I","","{""Q0"":""ke""}","","",""
"1324","","audio-keyboard-response","325","572436","0.0-4.0-4.21","MT-A1HKCTDOTL6C9I","","","snd/ke.wav","51","typicality"
