"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","view_history","responses","stimulus","key_press","stim_type"
"6469","ad.html","external-html","0","6511","0.0-0.0","MT-A1H72Y9Z5NJXDS","","","","",""
"42114","","instructions","1","48626","0.0-1.0","MT-A1H72Y9Z5NJXDS","[{""page_index"":0,""viewing_time"":42111}]","","","",""
"3738","","survey-multi-select","2","54377","0.0-2.0","MT-A1H72Y9Z5NJXDS","","{""Q0"":[""English""]}","","",""
"9382","","html-keyboard-response","3","63761","0.0-3.0","MT-A1H72Y9Z5NJXDS","","","<p>In each of the following trials, you will hear one syllable.</p><p>After you have heard the syllable, please indicate the <strong>identity</strong> of the perceived syllable,i.e., which syllable you think you heard,</p><p>You will then hear the syllable again once.</p><p>Then, please indicate how <strong>prototypical</strong> is the syllable of the pereived identity on a scale from 1 to 7</p><p></p><p><mark>Press any key to begin.</mark></p>","32",""
"null","","html-keyboard-response","4","64264","0.0-4.0-0.0","MT-A1H72Y9Z5NJXDS","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","5","64591","0.0-4.0-1.0","MT-A1H72Y9Z5NJXDS","","","snd/no.wav","null",""
"null","","audio-keyboard-response","6","65351","0.0-4.0-2.0-0.0","MT-A1H72Y9Z5NJXDS","","","snd/no.wav","null",""
"2166","","html-keyboard-response","7","67517","0.0-4.0-2.0-1.0","MT-A1H72Y9Z5NJXDS","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","8","67770","0.0-4.0-2.1-0.1","MT-A1H72Y9Z5NJXDS","","","snd/no.wav","null",""
"1195","","html-keyboard-response","9","68966","0.0-4.0-2.1-1.1","MT-A1H72Y9Z5NJXDS","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","10","69221","0.0-4.0-2.2-0.2","MT-A1H72Y9Z5NJXDS","","","snd/no.wav","null",""
"698","","html-keyboard-response","11","69919","0.0-4.0-2.2-1.2","MT-A1H72Y9Z5NJXDS","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
"5109","","survey-text","12","75031","0.0-4.0-3.0","MT-A1H72Y9Z5NJXDS","","{""Q0"":""no""}","","",""
"5011","","audio-keyboard-response","13","80051","0.0-4.0-4.0","MT-A1H72Y9Z5NJXDS","","","snd/no.wav","52","typicality"
"null","","html-keyboard-response","14","81055","0.0-4.0-0.1","MT-A1H72Y9Z5NJXDS","","","<p>next syllable</p>","null",""
"null","","audio-keyboard-response","15","81311","0.0-4.0-1.1","MT-A1H72Y9Z5NJXDS","","","snd/so2_0.wav","null",""
"null","","audio-keyboard-response","16","82070","0.0-4.0-2.3-0.3","MT-A1H72Y9Z5NJXDS","","","snd/so2_0.wav","null",""
"1335","","html-keyboard-response","17","83405","0.0-4.0-2.3-1.3","MT-A1H72Y9Z5NJXDS","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","18","83651","0.0-4.0-2.4-0.4","MT-A1H72Y9Z5NJXDS","","","snd/so2_0.wav","null",""
"1277","","html-keyboard-response","19","84929","0.0-4.0-2.4-1.4","MT-A1H72Y9Z5NJXDS","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","82",""
"null","","audio-keyboard-response","20","85170","0.0-4.0-2.5-0.5","MT-A1H72Y9Z5NJXDS","","","snd/so2_0.wav","null",""
"1723","","html-keyboard-response","21","86895","0.0-4.0-2.5-1.5","MT-A1H72Y9Z5NJXDS","","","<p><strong>r</strong> to repeat,<br> <strong>any other</strong> to continue</p>","32",""
