id,age_months,gender,trial,fam_condition,fam_trial_audio,fam_version,test_trial,test_trial_audio,test_trial_audio_length_ms,test_trial_type,test_version,trial_end_method,looking_time,mean_LT_congruent_trials,sd_LT_congruent_trials,mean_LT_incongruent_trials,sd_LT_congruent_trials,notes_fam,notes_test
MB3_16,9,female,10,ABB,NA,NA,test_10,test_stream_lonilo.wav,15960.5,ABA_1,1_ABB_congruent_first_trial,trial_recycled_look_away_from_screen,1692,,,,,,
MB3_16,9,female,11,ABB,NA,NA,test_9,test_stream_lonini.wav,15954.2,ABB_1,1_ABB_congruent_first_trial,trial_recycled_look_away_from_screen,5148,,,,,,
MB3_16,9,female,12,ABB,NA,NA,test_11,test_stream_tisoti.wav,15538.4,ABA_2,1_ABB_congruent_first_trial,trial_recycled_look_away_from_screen,1266,,,,,,
MB3_16,9,female,13,ABB,NA,NA,test_12,test_stream_tisoso.wav,15744.2,ABB_2,1_ABB_congruent_first_trial,trial_recycled_look_away_from_screen,1376,,,,,,
MB3_17,9,female,1,ABA,fam_aba_7.wav,16_ABA,NA,NA,NA,NA,NA,trial_time_out,30290,3596.0,664.2,2691.7,1338.7,,
MB3_17,9,female,2,ABA,NA,NA,test_1,test_stream_lonini.wav,15954.2,ABB_1,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,2656,,,,,,
MB3_17,9,female,3,ABA,NA,NA,test_3,test_stream_lonilo.wav,15960.5,ABA_1,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,2486,,,,,,
MB3_17,9,female,4,ABA,NA,NA,test_2,test_stream_tisoso.wav,15744.2,ABB_2,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,3286,,,,,,
MB3_17,9,female,5,ABA,NA,NA,test_4,test_stream_tisoti.wav,15538.4,ABA_2,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,4112,,,,,,
MB3_17,9,female,6,ABA,NA,NA,test_7,test_stream_tisoso.wav,15744.2,ABB_2,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,1954,,,,,,
MB3_17,9,female,7,ABA,NA,NA,test_8,test_stream_tisoti.wav,15538.4,ABA_2,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,4096,,,,,,
MB3_17,9,female,8,ABA,NA,NA,test_6,test_stream_lonilo.wav,15960.5,ABA_1,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,3870,,,,,,
MB3_17,9,female,9,ABA,NA,NA,test_5,test_stream_lonini.wav,15954.2,ABB_1,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,5064,,,,,,
MB3_17,9,female,10,ABA,NA,NA,test_11,test_stream_tisoti.wav,15538.4,ABA_2,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,3934,,,,,,
MB3_17,9,female,11,ABA,NA,NA,test_10,test_stream_lonilo.wav,15960.5,ABA_1,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,3078,,,,,,
MB3_17,9,female,12,ABA,NA,NA,test_9,test_stream_lonini.wav,15954.2,ABB_1,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,1476,,,,,,
MB3_17,9,female,13,ABA,NA,NA,test_12,test_stream_tisoso.wav,15744.2,ABB_2,4_ABA_incongruent_first_trial,trial_recycled_look_away_from_screen,1714,,,,,,
MB3_18,8,female,1,ABB,fam_abb_2.wav,05_ABB,NA,NA,NA,NA,NA,trial_time_out,44696,6893.3,2597.3,4829.7,3295.5,didnt look at screen a lot,
MB3_18,8,female,2,ABB,NA,NA,test_1,test_stream_lonini.wav,15954.2,ABB_1,1_ABB_congruent_first_trial,trial_recycled_look_away_from_screen,6118,,,,,,
MB3_18,8,female,3,ABB,NA,NA,test_2,test_stream_tisoso.wav,15744.2,ABB_2,1_ABB_congruent_first_trial,trial_recycled_look_away_from_screen,7028,,,,,,
MB3_18,8,female,4,ABB,NA,NA,test_4,test_stream_tisoti.wav,15538.4,ABA_2,1_ABB_congruent_first_trial,trial_recycled_look_away_from_screen,2880,,,,,,
